# ID    RA            DEC          photz   Mag     Int_Pz   Rad(_)   Rank   r      zband   c1      c2      sed  
  4     175.7061645   15.3712733   0.85    99.0    0.166    4.92     76     0.0    0.0     0.0     0.0     0    
  17    175.7021258   15.3730311   0.85    99.0    0.166    4.77     77     0.0    0.0     0.0     0.0     0    
  29    175.7099157   15.3760566   2.46    99.0    0.0      4.7      10     0.0    0.0     39.45   46.56   0    
  36    175.6695292   15.5222765   1.43    99.0    0.221    4.38     100    0.0    0.0     0.0     2.94    0    
  37    175.6701226   15.5222932   1.46    99.0    0.213    4.38     96     0.0    0.0     0.04    0.46    0    
  39    175.6766131   15.5222852   1.62    99.0    0.065    4.3      37     0.0    0.0     1.36    2.91    0    
  41    175.674193    15.5222291   0.96    99.0    0.195    4.32     89     0.0    0.0     0.02    0.0     0    
  42    175.6771483   15.5223637   1.43    99.0    0.221    4.3      100    0.0    0.0     0.0     1.22    0    
  45    175.6751579   15.5219887   1.43    99.0    0.221    4.3      100    0.0    0.0     0.0     1.91    0    
  46    175.6805959   15.5230113   1.58    99.0    0.106    4.32     53     0.0    0.0     0.56    1.47    0    
  47    175.6767199   15.5217724   2.64    99.0    0.002    4.27     11     0.0    0.0     2.31    3.4     0    
  49    175.6780995   15.5213504   2.69    99.0    0.0      4.24     11     0.0    0.0     1.72    2.25    0    
  50    175.6781896   15.5209385   1.61    99.0    0.072    4.21     40     0.0    0.0     0.83    1.84    0    
  55    175.6684074   15.5210581   1.44    99.0    0.219    4.33     99     0.0    0.0     0.33    9.04    0    
  56    175.6842183   15.5211522   0.85    99.0    0.166    4.19     78     0.0    0.0     0.0     0.0     0    
  58    175.6733629   15.5211354   0.96    99.0    0.195    4.27     89     0.0    0.0     0.02    0.0     0    
  59    175.6787833   15.5209534   0.85    99.0    0.166    4.21     78     0.0    0.0     0.0     0.0     0    
  62    175.6847881   15.5208281   1.43    99.0    0.221    4.17     100    0.0    0.0     0.0     1.31    0    
  63    175.6797833   15.5207295   1.43    99.0    0.221    4.19     100    0.0    0.0     0.0     0.31    0    
  65    175.6750597   15.5205075   0.85    99.0    0.166    4.21     78     0.0    0.0     0.0     0.0     0    
  66    175.6836432   15.5203317   0.85    99.0    0.166    4.14     78     0.0    0.0     0.0     0.0     0    
  77    175.6802562   15.5169089   1.6     99.0    0.081    3.96     44     0.0    0.0     1.69    3.91    0    
  89    175.6674595   15.5195154   1.58    99.0    0.101    4.26     52     0.0    0.0     0.56    1.43    0    
  90    175.676496    15.5195875   1.69    99.0    0.012    4.14     16     0.0    0.0     0.59    0.95    0    
  92    175.6786916   15.5194108   0.85    99.0    0.166    4.12     78     0.0    0.0     0.0     0.0     0    
  93    175.6689638   15.5193729   1.43    99.0    0.221    4.22     100    0.0    0.0     0.0     0.69    0    
  94    175.6718052   15.5192714   1.72    99.0    0.005    4.18     13     0.0    0.0     0.9     1.37    0    
  96    175.6728956   15.5189966   0.85    99.0    0.166    4.15     78     0.0    0.0     0.0     0.0     0    
  102   175.6676226   15.5170157   2.61    99.0    0.0      4.11     11     0.0    0.0     2.29    2.86    0    
  106   175.6683946   15.5181721   0.85    99.0    0.166    4.16     78     0.0    0.0     0.0     0.0     0    
  107   175.6667451   15.5188168   1.43    99.0    0.221    4.23     100    0.0    0.0     0.0     1.16    0    
  110   175.685205    15.5189684   1.43    99.0    0.221    4.06     101    0.0    0.0     0.0     0.29    0    
  111   175.682226    15.5188679   1.43    99.0    0.221    4.06     101    0.0    0.0     0.0     1.75    0    
  112   175.6838156   15.5187351   1.43    99.0    0.221    4.05     101    0.0    0.0     0.0     1.26    0    
  114   175.6794837   15.5184878   1.43    99.0    0.221    4.06     101    0.0    0.0     0.0     1.03    0    
  115   175.6791493   15.5183289   0.85    99.0    0.166    4.05     78     0.0    0.0     0.0     0.0     0    
  117   175.6851647   15.5182952   0.85    99.0    0.166    4.02     78     0.0    0.0     0.0     0.0     0    
  119   175.6867413   15.5169181   2.72    99.0    0.0      3.93     12     0.0    0.0     1.31    1.75    0    
  120   175.6867078   15.5180917   1.6     99.0    0.081    4.0      44     0.0    0.0     1.53    3.53    0    
  121   175.6868301   15.5176223   2.7     99.0    0.0      3.97     11     0.0    0.0     13.93   19.41   0    
  122   175.6872854   15.5176949   1.48    99.0    0.206    3.98     95     0.0    0.0     0.29    2.33    0    
  124   175.6591758   15.5176605   1.43    99.0    0.221    4.31     100    0.0    0.0     0.0     2.44    0    
  125   175.6593635   15.5176675   1.43    99.0    0.221    4.31     100    0.0    0.0     0.0     1.98    0    
  126   175.6662004   15.5175001   1.43    99.0    0.221    4.16     100    0.0    0.0     0.0     0.44    0    
  127   175.6855036   15.5175887   0.85    99.0    0.166    3.97     79     0.0    0.0     0.0     0.0     0    
  128   175.6600398   15.5171743   1.53    99.0    0.16     4.26     75     0.0    0.0     1.18    4.41    0    
  131   175.6864814   15.5156813   0.85    99.0    0.166    3.86     79     0.0    0.0     0.0     0.0     0    
  132   175.685178    15.5170341   0.85    99.0    0.166    3.94     79     0.0    0.0     0.0     0.0     0    
  133   175.6854032   15.5164806   1.43    99.0    0.221    3.91     101    0.0    0.0     0.0     2.0     0    
  139   175.6593863   15.5170527   1.62    99.0    0.062    4.27     36     0.0    0.0     0.52    1.1     0    
  142   175.6654064   15.5164457   1.43    99.0    0.221    4.11     100    0.0    0.0     0.0     2.17    0    
  143   175.6650693   15.5163079   1.43    99.0    0.221    4.11     100    0.0    0.0     0.0     0.89    0    
  144   175.6536425   15.5079081   0.85    99.0    0.166    3.93     79     0.0    0.0     0.0     0.0     0    
  146   175.6574302   15.5087742   0.85    99.0    0.166    3.87     79     0.0    0.0     0.0     0.0     0    
  150   175.6565004   15.5083859   1.43    99.0    0.221    3.87     101    0.0    0.0     0.0     1.12    0    
  161   175.6677347   15.5157782   1.62    99.0    0.065    4.04     38     0.0    0.0     0.72    1.54    0    
  162   175.6780497   15.5189559   1.43    99.0    0.221    4.09     100    0.0    0.0     0.0     0.14    0    
  164   175.6944047   15.5154243   1.43    99.0    0.221    3.86     101    0.0    0.0     0.0     2.05    0    
  165   175.6938917   15.5157234   1.43    99.0    0.221    3.88     101    0.0    0.0     0.0     8.87    0    
  166   175.6939445   15.5152578   0.85    99.0    0.166    3.85     79     0.0    0.0     0.0     0.0     0    
  167   175.6937885   15.5150312   0.85    99.0    0.166    3.83     79     0.0    0.0     0.0     0.0     0    
  168   175.687244    15.5157808   0.85    99.0    0.166    3.86     79     0.0    0.0     0.0     0.0     0    
  170   175.6720874   15.515511    1.52    99.0    0.174    3.95     82     0.0    0.0     0.61    2.61    0    
  171   175.671738    15.5153693   2.6     99.0    0.0      3.95     12     0.0    0.0     0.7     0.87    0    
  174   175.6623259   15.5152727   0.85    99.0    0.166    4.11     78     0.0    0.0     0.0     0.0     0    
  175   175.6624489   15.5148632   0.85    99.0    0.166    4.08     78     0.0    0.0     0.0     0.0     0    
  176   175.6839906   15.5163237   0.85    99.0    0.166    3.9      79     0.0    0.0     0.0     0.0     0    
  177   175.6888676   15.5151505   0.85    99.0    0.166    3.83     79     0.0    0.0     0.0     0.0     0    
  179   175.688014    15.5149132   0.99    99.0    0.202    3.81     94     0.0    0.0     0.01    0.0     0    
  180   175.6641779   15.5148987   0.85    99.0    0.166    4.05     78     0.0    0.0     0.0     0.0     0    
  181   175.6652523   15.5149411   1.43    99.0    0.221    4.03     101    0.0    0.0     0.0     0.33    0    
  183   175.6720964   15.5147528   1.56    99.0    0.126    3.91     63     0.0    0.0     0.33    0.97    0    
  184   175.6889758   15.5147145   0.85    99.0    0.166    3.8      79     0.0    0.0     0.0     0.0     0    
  185   175.6910144   15.5146473   1.43    99.0    0.221    3.8      101    0.0    0.0     0.0     1.08    0    
  186   175.6737732   15.514475    1.64    99.0    0.043    3.87     29     0.0    0.0     0.69    1.33    0    
  187   175.6876878   15.5170385   1.61    99.0    0.067    3.94     39     0.0    0.0     0.7     1.51    0    
  188   175.6882277   15.514016    2.69    99.0    0.0      3.76     12     0.0    0.0     7.59    10.67   0    
  191   175.6946572   15.5144156   0.85    99.0    0.166    3.8      79     0.0    0.0     0.0     0.0     0    
  193   175.6866672   15.5141125   0.85    99.0    0.166    3.76     79     0.0    0.0     0.0     0.0     0    
  194   175.6920892   15.514343    1.43    99.0    0.221    3.78     101    0.0    0.0     0.0     0.1     0    
  199   175.6717852   15.5141477   0.85    99.0    0.166    3.88     79     0.0    0.0     0.0     0.0     0    
  200   175.668124    15.5140291   0.85    99.0    0.166    3.93     79     0.0    0.0     0.0     0.0     0    
  203   175.6872422   15.5137305   1.43    99.0    0.221    3.74     101    0.0    0.0     0.0     0.65    0    
  204   175.6725544   15.5136982   2.64    99.0    0.001    3.84     12     0.0    0.0     0.41    0.6     0    
  207   175.6907261   15.5136473   0.85    99.0    0.166    3.74     79     0.0    0.0     0.0     0.0     0    
  208   175.6823616   15.5120653   1.53    99.0    0.162    3.65     78     0.0    0.0     0.74    2.83    0    
  217   175.6843148   15.5131434   0.85    99.0    0.166    3.71     79     0.0    0.0     0.0     0.0     0    
  218   175.6851033   15.5130687   0.85    99.0    0.166    3.7      79     0.0    0.0     0.0     0.0     0    
  219   175.6875939   15.5130828   1.43    99.0    0.221    3.7      102    0.0    0.0     0.0     1.57    0    
  220   175.6833783   15.5129623   0.85    99.0    0.166    3.7      79     0.0    0.0     0.0     0.0     0    
  221   175.6860924   15.5128952   0.85    99.0    0.166    3.69     79     0.0    0.0     0.0     0.0     0    
  222   175.6892176   15.5129552   0.85    99.0    0.166    3.69     79     0.0    0.0     0.0     0.0     0    
  225   175.679809    15.5198903   0.85    99.0    0.166    4.14     78     0.0    0.0     0.0     0.0     0    
  226   175.6763236   15.5128859   0.85    99.0    0.166    3.75     79     0.0    0.0     0.0     0.0     0    
  227   175.6895878   15.5134984   0.85    99.0    0.166    3.73     79     0.0    0.0     0.0     0.0     0    
  228   175.6882347   15.512776    0.85    99.0    0.166    3.68     79     0.0    0.0     0.0     0.0     0    
  232   175.6709923   15.5125931   1.61    99.0    0.066    3.8      39     0.0    0.0     1.96    4.21    0    
  233   175.6701616   15.5115772   2.71    99.0    0.0      3.75     12     0.0    0.0     1.28    1.77    0    
  234   175.6709549   15.5114294   1.72    99.0    0.004    3.73     14     0.0    0.0     16.0    23.99   0    
  237   175.6846566   15.5118084   1.51    99.0    0.182    3.63     86     0.0    0.0     0.31    1.47    0    
  238   175.685397    15.5116423   1.43    99.0    0.22     3.62     101    0.0    0.0     0.0     0.02    0    
  241   175.6725055   15.5125172   0.85    99.0    0.166    3.77     79     0.0    0.0     0.0     0.0     0    
  243   175.6983137   15.5124619   0.85    99.0    0.166    3.71     79     0.0    0.0     0.0     0.0     0    
  244   175.6965925   15.512409    1.43    99.0    0.221    3.7      102    0.0    0.0     0.0     0.41    0    
  246   175.6889849   15.5123644   0.85    99.0    0.166    3.66     80     0.0    0.0     0.0     0.0     0    
  249   175.6948701   15.5122791   0.85    99.0    0.166    3.68     79     0.0    0.0     0.0     0.0     0    
  250   175.6956743   15.5122114   2.72    99.0    0.0      3.68     12     0.0    0.0     0.41    0.56    0    
  251   175.6902768   15.5121381   1.43    99.0    0.221    3.65     102    0.0    0.0     0.0     2.05    0    
  252   175.6900379   15.5116656   2.63    99.0    0.0      3.62     13     0.0    0.0     0.22    0.28    0    
