# ID_1        photz   SED   chisq       RA            Dec          rflux      f814w     f105w        f140w          ch1      ech1       
  9.000001    0.87    8     5.673E11    175.6745043   15.4331867   0.0        0.0       20877.584    980.39307      0.0      1.4258538  
  9.000002    0.89    8     5236200.0   175.7068085   15.4739527   0.0        0.0       81.84652     26.198729      0.0      1.4258538  
  9.000003    1.04    8     2532500.0   175.7050947   15.4733245   27.856     35.361    192.29156    209.72018      106.14   1.4259     
  9.000004    0.96    7     2217.4      175.7016237   15.4726388   3.8463     1.5701    6.4020667    7.1792684      0.0      1.4258538  
  9.000005    1.22    8     45.99       175.7031775   15.4726881   0.31431    0.0       0.8242144    1.1363711      0.0      1.4258538  
  9.000006    0.96    8     17.95       175.705888    15.4727988   0.0        0.0       0.24490643   0.1892693      0.0      1.4258538  
  9.000007    0.88    6     237.33      175.7042936   15.4724867   2.0572     6.4133    13.665962    20.682365      44.074   1.4259     
  9.000008    0.87    8     56.56       175.699642    15.4725021   0.0        0.0       0.20041037   9.120103E-31   0.0      1.4258538  
  9.000009    0.59    8     76.86       175.6965149   15.4720748   0.36901    0.0       0.3538997    0.38204998     0.0      1.4258538  
  9.000010    1.04    5     58.67       175.6947398   15.4717519   0.38801    0.0       0.7244363    0.8336815      0.0      1.4258538  
  9.000011    0.82    1     27.64       175.7032036   15.4717062   0.27629    0.66668   1.9184929    2.9080389      0.0      1.4258538  
  9.000012    0.87    8     66.56       175.6959677   15.4717804   0.0        0.0       0.21741033   9.120103E-31   0.0      1.4258538  
  9.000013    1.21    1     13.72       175.7062623   15.4714645   0.0        0.0       0.4860939    0.97319573     0.0      1.4258538  
  9.000014    0.87    8     70.7        175.6942946   15.4714805   0.0        0.0       0.22405785   9.120103E-31   0.0      1.4258538  
  9.000015    0.62    8     27.98       175.7018154   15.4711576   0.25363    0.0       0.3827544    0.3910211      0.0      1.4258538  
  9.000016    1.02    8     58.06       175.69638     15.4709974   0.0        0.0       0.5108815    0.4937194      0.0      1.4258538  
  9.000017    0.87    8     118.72      175.6908579   15.4709056   0.0        0.0       0.2903489    9.120103E-31   0.0      1.4258538  
  9.000018    0.89    8     110.96      175.6893125   15.470773    0.0        0.0       0.39489368   0.14443757     0.0      1.4258538  
  9.000019    1.07    2     52.83       175.7036224   15.4704904   0.0        0.0       1.1416163    2.06158        0.0      1.4258538  
  9.000020    0.83    8     76.63       175.6877481   15.4701399   0.23688    0.0       0.32845825   0.14668989     0.0      1.4258538  
  9.000021    1.33    0     160.87      175.6985321   15.4699877   0.0        0.0       3.1246414    6.9464064      28.618   1.4259     
  9.000022    1.15    8     1484.4      175.6851871   15.4697974   1.3436     0.0       4.7193284    5.775641       0.0      1.4258538  
  9.000023    1.02    6     345.72      175.6957039   15.4696565   1.6743     4.1706    14.320567    23.557013      63.855   1.4259     
  9.000024    0.88    1     97.5        175.6929825   15.4698664   0.33269    0.0       0.6186431    0.4973707      0.0      1.4258538  
  9.000025    0.89    1     12.76       175.6891038   15.469893    0.0        0.0       0.32192907   0.41763818     0.0      1.4258538  
  9.000026    0.91    8     187.13      175.6913249   15.4697879   0.0        0.0       0.57660735   0.27413228     0.0      1.4258538  
  9.000027    1.1     2     72.64       175.6876317   15.46963     0.0        0.0       1.3414057    2.479706       0.0      1.4258538  
  9.000028    1.27    5     2406.3      175.6971146   15.4691772   1.0441     0.0       9.059834     18.32484       82.156   1.4259     
  9.000029    1.24    1     8.35        175.6993787   15.4696056   0.0        0.0       0.37535325   0.77904075     0.0      1.4258538  
  9.000030    1.43    8     22.39       175.7004558   15.4694626   0.52201    0.85161   2.0869892    3.6081135      10.506   1.4259     
  9.000031    0.25    8     57.1        175.682736    15.4693206   2.0639     2.6678    3.7078333    4.837714       0.0      1.4258538  
  9.000032    0.95    7     1115.9      175.6989183   15.4692484   2.0464     6.5633    14.378719    20.042885      51.11    1.4259     
  9.000033    0.67    8     613.64      175.682051    15.4694518   0.8625     0.0       0.4364356    0.5690104      0.0      1.4258538  
  9.000034    0.64    8     574.89      175.681721    15.4694004   0.8625     0.0       0.5022965    0.6302026      0.0      1.4258538  
  9.000035    0.27    8     55.87       175.6948885   15.4690898   1.4913     1.3619    2.1407216    2.8051765      0.0      1.4258538  
  9.000036    0.09    2     63.67       175.6982507   15.469049    1.366      1.7967    3.0732663    3.312533       0.0      1.4258538  
  9.000037    0.85    8     45.58       175.6802952   15.469142    0.0        0.26392   0.20646203   0.047915958    0.0      1.4258538  
  9.000038    0.62    3     329.13      175.6964278   15.4688597   0.57602    1.5207    2.7560062    5.223483       0.0      1.4258538  
  9.000039    1.01    8     39.94       175.7019396   15.4689227   0.0        0.0       0.41187003   0.38772175     0.0      1.4258538  
  9.000040    0.93    5     100.16      175.6882952   15.4686906   0.89462    3.376     8.75226      14.095491      38.021   1.4259     
  9.000041    0.87    8     109.62      175.6785312   15.4688213   0.0        0.0       0.27899742   9.120103E-31   0.0      1.4258538  
  9.000042    0.96    1     3.84        175.7056951   15.4688374   0.0        0.0       0.22167677   0.3373496      0.0      1.4258538  
  9.000043    1.24    8     297.46      175.7013129   15.4683349   1.7204     1.73      6.0150633    9.649842       32.01    1.4259     
  9.000044    0.87    8     138.94      175.6759108   15.4683472   0.0        0.0       0.31410885   9.120103E-31   0.0      1.4258538  
  9.000045    1.0     8     14.56       175.6796518   15.4682863   0.0        0.0       0.24221452   0.21853457     0.0      1.4258538  
  9.000046    0.84    8     171.23      175.6762657   15.4682565   0.0        0.6351    0.26477695   9.120103E-31   0.0      1.4258538  
  9.000047    0.88    8     94.03       175.6754759   15.4682338   0.0        0.0       0.29158163   0.040693045    0.0      1.4258538  
  9.000048    0.87    8     168.03      175.6822879   15.4682304   0.0        0.0       0.3454301    9.120103E-31   0.0      1.4258538  
  9.000049    0.09    2     18.33       175.6979012   15.4680915   1.063      1.8315    2.3924353    2.677196       0.0      1.4258538  
  9.000050    0.88    8     37.31       175.674936    15.4681671   0.0        0.0       0.20263767   0.049513105    0.0      1.4258538  
  9.000051    0.53    8     36.19       175.7060439   15.4680848   0.31368    0.0       0.36643773   0.3708516      0.0      1.4258538  
  9.000052    0.94    1     27.08       175.6876452   15.4680324   0.18769    0.0       0.37359425   0.34276792     0.0      1.4258538  
  9.000053    0.11    1     242.98      175.7075829   15.4678579   2.1038     2.955     3.6993055    4.098644       0.0      1.4258538  
  9.000054    1.23    8     16.16       175.6744566   15.4679669   0.14125    0.0       0.45065084   0.62287396     0.0      1.4258538  
  9.000055    1.08    8     16.91       175.6942273   15.4678842   0.32252    0.53481   1.1577111    1.4735341      0.0      1.4258538  
  9.000056    0.93    8     11.37       175.6861714   15.467939    0.0        0.0       0.2798467    0.32410085     0.0      1.4258538  
  9.000057    0.87    8     413.01      175.6829223   15.4678155   0.0        0.0       0.541552     9.120103E-31   0.0      1.4258538  
  9.000058    0.98    6     330.24      175.6774002   15.4676703   0.86076    0.0       1.6466458    1.7079698      0.0      1.4258538  
  9.000059    0.87    8     40.28       175.6728526   15.4677636   0.0        0.0       0.18341725   0.017461443    0.0      1.4258538  
  9.000060    0.87    8     36.19       175.6725369   15.4677166   0.0        0.0       0.17405246   0.016777227    0.0      1.4258538  
  9.000061    1.11    8     495.89      175.683597    15.4674434   0.86912    0.0       2.8636518    4.0730543      0.0      1.4258538  
  9.000062    0.71    1     14.39       175.7046195   15.4674424   0.21256    0.58863   0.50895596   0.58242524     0.0      1.4258538  
  9.000063    0.87    8     208.29      175.6830789   15.4674485   0.0        0.0       0.38459194   9.120103E-31   0.0      1.4258538  
  9.000064    0.85    7     74.54       175.689213    15.4673247   0.43958    1.4966    2.7244585    3.6809523      0.0      1.4258538  
  9.000065    0.89    8     7.44        175.6988657   15.4673809   0.0        0.0       0.24501923   0.3171613      0.0      1.4258538  
  9.000066    1.18    8     604.29      175.6709351   15.4671505   0.592      0.0       2.9705727    3.6247678      0.0      1.4258538  
  9.000067    0.92    1     86.64       175.6958802   15.4670362   0.0        0.0       0.92751336   1.2789106      0.0      1.4258538  
  9.000068    0.86    7     155.82      175.6960032   15.4658936   0.0        0.86784   1.7131689    2.199481       0.0      1.4258538  
  9.000069    0.16    9     1346.5      175.6954299   15.4667614   7.3879     7.5426    13.210529    16.19721       25.687   1.4259     
  9.000070    0.99    9     1109.2      175.6955453   15.4662383   0.0        0.0       3.159077     4.4705424      25.687   1.4259     
  9.000071    0.87    8     82.26       175.6688963   15.467029    0.0        0.0       0.2567794    0.0183857      0.0      1.4258538  
  9.000072    1.09    1     8.37        175.6767108   15.4669615   0.0        0.0       0.36559495   0.6450007      0.0      1.4258538  
  9.000073    0.88    8     117.31      175.6685043   15.4669271   0.0        0.0       0.33453393   0.056488518    0.0      1.4258538  
  9.000074    0.9     8     200.23      175.668385    15.4667739   0.0        0.0       0.5731129    0.25139704     0.0      1.4258538  
  9.000075    0.87    8     218.14      175.6822023   15.4669297   0.0        0.0       0.43986577   0.056702234    0.0      1.4258538  
  9.000076    0.89    8     155.29      175.6974915   15.4668157   0.0        0.0       1.2245039    1.5607027      0.0      1.4258538  
  9.000077    0.1     8     100.26      175.7074483   15.4667626   1.7187     2.1186    2.9829104    3.2879121      0.0      1.4258538  
  9.000078    0.7     1     208.63      175.6772125   15.4667056   1.6112     3.4223    3.9391289    4.75423        0.0      1.4258538  
  9.000079    1.12    1     6.84        175.6787968   15.4668643   0.0        0.0       0.33741173   0.61767524     0.0      1.4258538  
  9.000080    0.09    1     137.92      175.6718298   15.4664639   1.5593     2.6975    3.4670508    3.631451       0.0      1.4258538  
  9.000081    1.06    8     750.93      175.6702657   15.4665155   0.63779    0.0       2.3052616    2.4626358      0.0      1.4258538  
  9.000082    0.81    7     39.08       175.6724553   15.466503    0.40242    1.1841    1.9091506    2.5770342      0.0      1.4258538  
  9.000083    1.05    2     15.22       175.6762207   15.4665244   0.0        0.0       0.5875437    1.0570127      0.0      1.4258538  
  9.000084    1.1     2     52.1        175.6920233   15.4664407   0.0        0.0       0.84871167   1.6609639      0.0      1.4258538  
  9.000085    1.05    8     522.79      175.6683823   15.466149    0.0        0.0       1.7482365    1.8101734      0.0      1.4258538  
  9.000086    0.83    1     1289.2      175.6694038   15.4660762   1.1021     1.2823    2.5640128    1.817859       0.0      1.4258538  
  9.000087    0.99    8     29.34       175.6777612   15.4662441   0.0        0.0       0.34235775   0.30608368     0.0      1.4258538  
  9.000088    0.75    8     28.47       175.6966744   15.4661566   0.21423    0.0       0.3039486    0.24154618     0.0      1.4258538  
  9.000089    0.95    1     215.84      175.6978571   15.4660202   0.20652    0.0       2.2253597    3.40377        0.0      1.4258538  
  9.000090    0.74    1     41.79       175.7048794   15.465921    0.44854    1.3419    3.0149505    4.4320045      0.0      1.4258538  
  9.000091    0.89    8     106.6       175.6761036   15.4659177   0.0        0.0       0.91050047   1.1348022      0.0      1.4258538  
  9.000092    0.8     7     62.65       175.6991371   15.466047    2.5312     6.5013    10.68268     15.275668      32.556   1.4259     
  9.000093    1.05    3     69.96       175.6751699   15.4660292   0.31957    0.0       0.84636986   0.9334266      0.0      1.4258538  
  9.000094    0.49    8     76.12       175.706575    15.4657332   0.43323    0.0       0.7699813    1.260086       0.0      1.4258538  
  9.000095    0.93    1     212.18      175.6833769   15.4655326   0.2582     0.0       1.9762423    2.8615425      0.0      1.4258538  
  9.000096    0.9     1     32.82       175.6685444   15.4656024   0.0        0.0       0.5373784    0.7141019      0.0      1.4258538  
  9.000097    0.13    8     3624.8      175.6938604   15.4652291   11.872     9.4068    17.514599    20.220886      9.462    1.4259     
  9.000098    0.94    8     521.96      175.6932804   15.4647493   0.0        1.2464    2.051919     2.3090863      0.0      1.4258538  
  9.000099    0.26    8     9.32        175.6986553   15.465521    0.25813    0.21938   0.38554952   0.44849765     0.0      1.4258538  
  9.000100    1.01    8     79.02       175.7061037   15.4654382   0.0        0.0       0.57985604   0.5463113      0.0      1.4258538  
  9.000101    1.06    1     5.5         175.6982845   15.4654354   0.0        0.0       0.29061645   0.4992524      0.0      1.4258538  
  9.000102    0.51    8     12.9        175.7012077   15.4654477   0.19304    0.0       0.21865538   0.23476869     0.0      1.4258538  
  9.000103    1.12    7     104.99      175.7026883   15.4649909   0.59786    0.80857   3.4853003    5.1760707      9.9364   1.4259     
