# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000253   175.6950009  +15.4568249    1.13   22.95  0.609     0.52     1130
09.000535   175.6889783  +15.4422087    1.20   22.31  0.566     0.55     1081
09.000332   175.6975652  +15.4530942    1.15   22.19  0.527     0.57     1015
09.000158   175.6998459  +15.4617500    1.27   22.70  0.550     0.93     1013
09.000283   175.6857843  +15.4557199    1.11   23.95  0.537     0.29     999
09.000238   175.6971033  +15.4572542    1.25   24.76  0.581     0.64     998
09.000397   175.6851251  +15.4506913    1.08   23.24  0.466     0.17     938
09.000279   175.6888419  +15.4556539    1.12   23.50  0.471     0.26     910
09.000311   175.6869131  +15.4542516    1.07   23.17  0.449     0.18     906
09.000215   175.6920876  +15.4584049    1.26   22.93  0.475     0.48     901
09.000370   175.6805128  +15.4513982    1.11   23.05  0.464     0.43     884
09.000387   175.6895906  +15.4513457    1.13   24.34  0.432     0.10     878
09.000259   175.6731683  +15.4565644    1.10   23.75  0.480     0.91     853
09.000497   175.6804260  +15.4451868    1.16   24.51  0.483     0.57     853
09.000386   175.6940544  +15.4513041    1.05   23.15  0.437     0.35     845
09.000420   175.7066270  +15.4498238    1.09   22.79  0.459     1.09     844
09.000271   175.6844265  +15.4561603    1.05   23.72  0.445     0.35     841
09.000206   175.6896056  +15.4588055    1.05   23.38  0.441     0.46     830
09.000243   175.6910349  +15.4569074    1.08   22.79  0.418     0.38     820
09.000231   175.6826818  +15.4577992    1.05   24.04  0.435     0.49     796
09.000575   175.6797703  +15.4393549    1.07   23.91  0.447     0.86     794
09.000339   175.6897277  +15.4532418    1.03   23.00  0.372     0.15     788
09.000286   175.6820562  +15.4553991    1.11   22.72  0.401     0.42     787
09.000315   175.6897150  +15.4543621    1.03   22.98  0.381     0.21     786
09.000354   175.6840502  +15.4524483    1.03   22.93  0.380     0.23     778
09.000133   175.6885932  +15.4628257    1.27   24.35  0.439     0.69     777
09.000328   175.7001679  +15.4535910    1.16   22.02  0.398     0.72     777
09.000340   175.6826787  +15.4531073    1.03   22.98  0.391     0.32     776
09.000412   175.7103626  +15.4504477    1.16   24.04  0.443     1.30     770
09.000179   175.6864878  +15.4605934    1.08   22.54  0.397     0.56     770
09.000278   175.6876377  +15.4558696    1.07   24.51  0.404     0.27     765
09.000476   175.7094254  +15.4462118    1.09   24.86  0.431     1.28     727
09.000187   175.6847015  +15.4598031    1.02   22.97  0.373     0.54     717
09.000423   175.6754097  +15.4499052    1.04   23.16  0.383     0.73     715
09.000023   175.6957039  +15.4696565    1.02   22.35  0.378     1.18     712
09.000199   175.6846729  +15.4590125    1.02   23.11  0.370     0.49     712
09.000262   175.6798197  +15.4563178    1.02   23.26  0.373     0.55     707
09.000510   175.6846356  +15.4438398    1.32   24.58  0.389     0.49     705
09.000043   175.7013129  +15.4683349    1.24   23.30  0.390     1.28     703
09.000169   175.6796899  +15.4598415    1.01   16.32  0.258     0.70     688
09.000568   175.6777079  +15.4397647    1.04   23.24  0.373     0.91     686
09.000333   175.6984962  +15.4528071    1.11   23.47  0.364     0.62     681
09.000239   175.6990877  +15.4571992    1.06   24.06  0.374     0.73     675
09.000252   175.7013227  +15.4568172    1.07   23.93  0.370     0.84     666
09.000597   175.6811712  +15.4381779    1.34   25.34  0.392     0.88     664
09.000103   175.7026883  +15.4649909    1.12   24.13  0.378     1.18     662
09.000470   175.6923245  +15.4468729    1.22   23.35  0.334     0.37     659
09.000155   175.7045997  +15.4619399    1.24   23.67  0.364     1.15     652
09.000170   175.6897501  +15.4611139    1.04   24.51  0.359     0.59     648
09.000408   175.6824532  +15.4503546    1.04   22.10  0.305     0.32     647
09.000317   175.7057567  +15.4544641    1.04   23.46  0.353     1.05     641
09.000378   175.6850637  +15.4515557    0.96   23.63  0.294     0.17     634
09.000223   175.6871786  +15.4582070    1.03   23.99  0.329     0.41     630
09.000442   175.6917601  +15.4486826    1.25   24.46  0.318     0.27     625
09.000574   175.6764957  +15.4393934    1.00   23.53  0.341     0.98     622
09.000219   175.6980273  +15.4583947    1.02   24.72  0.348     0.72     617
09.000654   175.6763275  +15.4334845    1.03   21.80  0.315     1.27     612
09.000417   175.7111180  +15.4502562    1.00   22.92  0.328     1.34     604
09.000244   175.6916214  +15.4567675    1.13   23.65  0.303     0.39     597
09.000126   175.6754399  +15.4632995    1.22   24.81  0.345     1.02     597
09.000363   175.6859526  +15.4522063    0.97   22.75  0.250     0.12     593
09.000226   175.6905454  +15.4578875    1.10   21.38  0.274     0.42     593
09.000576   175.6788342  +15.4393432    1.00   22.98  0.313     0.89     590
09.000139   175.7031215  +15.4627538    1.07   24.09  0.331     1.11     587
09.000483   175.6807094  +15.4460283    0.98   23.16  0.300     0.53     586
09.000455   175.6889832  +15.4478706    0.99   23.09  0.269     0.22     585
09.000437   175.6990204  +15.4486145    1.03   24.22  0.309     0.66     568
09.000207   175.6810988  +15.4589155    1.38   25.14  0.311     0.60     557
09.000055   175.6942273  +15.4678842    1.08   24.58  0.317     1.05     555
09.000384   175.6807911  +15.4519600    1.16   23.73  0.280     0.41     553
09.000003   175.7050947  +15.4733245    1.04   20.03  0.263     1.65     552
09.000294   175.6922686  +15.4554571    0.97   24.15  0.277     0.35     549
09.000351   175.6885522  +15.4528149    0.93   24.11  0.228     0.09     548
09.000599   175.6771028  +15.4378121    1.22   24.79  0.314     1.03     547
09.000177   175.6767900  +15.4606180    1.10   22.24  0.275     0.85     542
09.000368   175.6830400  +15.4519143    1.22   25.34  0.278     0.28     542
09.000130   175.6928247  +15.4637957    1.04   24.79  0.290     0.80     518
09.000362   175.6846783  +15.4524111    0.94   24.85  0.240     0.20     512
09.000190   175.6976651  +15.4593014    1.05   22.11  0.252     0.74     509
09.000396   175.7104218  +15.4509743    0.99   24.32  0.289     1.30     508
09.000106   175.6968372  +15.4648038    1.08   24.18  0.280     0.96     506
09.000489   175.7121632  +15.4458911    0.99   24.74  0.294     1.44     505
09.000498   175.6832195  +15.4447635    0.98   22.85  0.247     0.48     505
09.000248   175.6796630  +15.4569954    1.14   24.83  0.273     0.58     503
09.000345   175.6993942  +15.4531100    0.97   24.77  0.275     0.67     501
09.000395   175.7008356  +15.4511304    0.84   15.00  0.166     0.75     495
09.000529   175.7069334  +15.4428158    0.96   24.11  0.272     1.21     486
09.000373   175.7002229  +15.4520484    0.96   22.92  0.247     0.71     485
09.000030   175.7004558  +15.4694626    1.43   24.07  0.269     1.30     480
09.000152   175.6931390  +15.4622682    0.92   21.96  0.231     0.72     475
09.000287   175.6816135  +15.4550810    0.95   25.01  0.238     0.43     460
09.000032   175.6989183  +15.4692484    0.95   21.86  0.232     1.25     459
09.000298   175.6865436  +15.4549391    1.09   24.20  0.205     0.23     455
