# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
2991.000000   175.6854011  15.4507747    1.22   22.30  0.681     0.15     1363
2989.000000   175.6899966  15.4533406    1.16   22.14  0.673     0.17     1351
2988.000000   175.6900197  15.4544092    1.16   22.15  0.673     0.22     1335
2984.000000   175.6843922  15.4525122    1.22   22.46  0.664     0.22     1302
3957.000000   175.6892621  15.4422931    1.17   21.80  0.672     0.55     1299
2983.000000   175.682981  15.4531667    1.17   22.22  0.665     0.31     1296
3363.000000   175.6650175  15.45077    1.17   22.06  0.688     1.33     1280
3109.000000   175.6943361  15.4514076    1.16   22.25  0.663     0.37     1279
2822.000000   175.6849342  15.459079    1.21   22.31  0.672     0.49     1277
2821.000000   175.6849519  15.459826    1.15   22.25  0.671     0.53     1274
3293.000000   175.6921912  15.4535391    1.19   23.66  0.690     0.28     1271
3465.000000   175.6884118  15.4507585    1.14   24.18  0.646     0.05     1270
3776.000000   175.7298141  15.4449352    1.17   20.74  0.649     2.45     1270
2975.000000   175.6847393  15.456228    1.16   23.09  0.677     0.34     1264
2981.000000   175.6898927  15.4588592    1.16   22.91  0.680     0.46     1262
3157.000000   175.6822673  15.4554428    1.13   21.86  0.643     0.41     1258
2986.000000   175.6891167  15.4557365    1.23   22.24  0.640     0.27     1257
2889.000000   175.6829374  15.4577947    1.18   23.00  0.675     0.48     1247
4011.000000   175.7157908  15.441052    1.19   22.58  0.688     1.73     1244
1755.000000   175.6648863  15.4785092    1.17   22.13  0.675     2.10     1241
3731.000000   175.7097008  15.4462986    1.20   22.76  0.684     1.30     1235
2979.000000   175.6888185  15.4528882    1.22   23.25  0.622     0.10     1234
2977.000000   175.6872413  15.4543502    1.25   22.47  0.619     0.18     1232
2980.000000   175.6827333  15.4504204    1.11   21.49  0.608     0.31     1230
2710.000000   175.728673  15.463573    1.20   22.46  0.680     2.47     1229
2973.000000   175.6925487  15.4555495    1.15   23.43  0.668     0.37     1228
3096.000000   175.6952843  15.4568962    1.23   22.30  0.646     0.54     1226
4052.000000   175.6800179  15.4394122    1.18   22.81  0.672     0.85     1225
2810.000000   175.7001419  15.4618326    1.22   22.56  0.666     0.94     1224
3415.000000   175.671162  15.4510199    1.17   22.69  0.669     0.97     1222
5498.000000   175.6678983  15.4075293    1.18   23.02  0.692     2.88     1218
2976.000000   175.6860694  15.4557984    1.22   23.35  0.650     0.29     1216
3031.000000   175.6591972  15.457802    1.17   22.17  0.659     1.71     1215
2852.000000   175.6802038  15.4564411    1.20   22.88  0.656     0.54     1214
4109.000000   175.7059657  15.4387086    1.19   23.09  0.679     1.29     1209
3106.000000   175.7014181  15.4566903    1.17   23.31  0.677     0.84     1209
2428.000000   175.646252  15.4694496    1.15   22.43  0.668     2.64     1208
3768.000000   175.6853906  15.4462172    1.20   24.49  0.682     0.34     1205
4570.000000   175.7263219  15.4279009    1.17   22.93  0.680     2.63     1203
5060.000000   175.7158223  15.42098    1.22   22.54  0.666     2.44     1200
2486.000000   175.6854542  15.469857    1.23   22.92  0.666     1.12     1200
5129.000000   175.7043929  15.417771    1.17   22.36  0.658     2.23     1197
3705.000000   175.6614231  15.4459288    1.17   23.05  0.673     1.57     1196
2235.000000   175.6900357  15.473404    1.18   22.33  0.649     1.33     1195
3111.000000   175.6993562  15.4544076    1.17   24.14  0.687     0.69     1194
2972.000000   175.692332  15.4584771    1.21   22.35  0.627     0.50     1194
4284.000000   175.7143397  15.435009    1.22   23.07  0.674     1.82     1193
3712.000000   175.6794993  15.4451291    1.18   24.55  0.687     0.62     1180
2230.000000   175.6498459  15.4724358    1.22   23.18  0.673     2.54     1179
1594.000000   175.7167351  15.4841521    1.14   22.60  0.655     2.58     1177
3488.000000   175.7069122  15.449917    1.25   22.28  0.634     1.10     1176
3191.000000   175.6949093  15.4550533    1.17   24.49  0.672     0.46     1173
3266.000000   175.6742881  15.4537917    1.17   23.47  0.659     0.80     1173
3362.000000   175.6647098  15.4522852    1.21   23.51  0.669     1.34     1170
2584.000000   175.6488393  15.4646955    1.22   23.54  0.677     2.40     1169
3268.000000   175.7153637  15.4552146    1.18   22.84  0.652     1.60     1169
3442.000000   175.7374832  15.4495431    1.19   23.24  0.669     2.87     1167
2450.000000   175.6878861  15.4696705    1.18   24.23  0.684     1.10     1167
2927.000000   175.698283  15.4584988    1.14   23.53  0.653     0.74     1163
3477.000000   175.6758011  15.4499849    1.20   23.32  0.646     0.71     1163
4026.000000   175.7197838  15.4404174    1.22   23.25  0.660     1.96     1158
4897.000000   175.7345756  15.4239423    1.19   23.23  0.664     3.16     1158
3231.000000   175.7099999  15.4522131    1.25   22.34  0.627     1.28     1156
4468.000000   175.6845412  15.431542    1.15   23.06  0.644     1.21     1152
2223.000000   175.7172425  15.4720709    1.16   23.06  0.650     2.10     1149
4154.000000   175.6609927  15.43664    1.12   21.14  0.594     1.79     1149
3735.000000   175.7124493  15.4460151    1.18   23.90  0.668     1.45     1148
2512.000000   175.7217765  15.4605061    1.18   23.40  0.656     2.03     1143
5324.000000   175.6925512  15.4112784    1.15   23.81  0.669     2.42     1142
4452.000000   175.705932  15.4305741    1.19   23.84  0.662     1.63     1138
3015.000000   175.6878217  15.4587819    1.14   24.30  0.644     0.44     1137
2091.000000   175.6394548  15.4750579    1.21   24.16  0.678     3.14     1137
2970.000000   175.685404  15.4540027    1.11   23.89  0.606     0.21     1135
3238.000000   175.7059869  15.4545286    1.25   22.86  0.625     1.06     1133
3965.000000   175.6682784  15.4412683    1.26   21.68  0.595     1.29     1131
2600.000000   175.6981386  15.4660984    1.24   23.86  0.651     1.06     1130
1625.000000   175.6834777  15.4823392    1.23   22.84  0.632     1.87     1130
3578.000000   175.7327297  15.4486254    1.15   23.63  0.655     2.60     1126
3116.000000   175.6734817  15.4565973    1.25   23.08  0.621     0.89     1122
2769.000000   175.6635562  15.4625152    1.23   23.66  0.646     1.56     1120
3405.000000   175.6898712  15.4514478    1.18   23.85  0.571     0.11     1117
4139.000000   175.7273818  15.4381536    1.13   23.44  0.641     2.42     1112
3434.000000   175.6782213  15.4518127    1.19   24.30  0.635     0.56     1110
2791.000000   175.6650521  15.4634832    1.16   23.87  0.644     1.51     1108
2836.000000   175.7288052  15.4607385    1.18   23.70  0.645     2.43     1107
5016.000000   175.6703803  15.4205442    1.18   22.05  0.598     2.11     1106
2733.000000   175.6756795  15.4633803    1.17   23.98  0.638     1.01     1105
2987.000000   175.6879153  15.4558985    1.28   23.50  0.585     0.27     1102
3886.000000   175.7071349  15.4429184    1.12   23.44  0.624     1.22     1100
3127.000000   175.7316324  15.4561123    1.15   22.30  0.603     2.54     1099
3229.000000   175.7090336  15.4508678    1.20   24.12  0.641     1.22     1098
3397.000000   175.7040765  15.4518625    1.20   23.47  0.618     0.93     1097
5363.000000   175.7045668  15.4114543    1.24   23.13  0.624     2.58     1097
4338.000000   175.7337058  15.435576    1.26   22.93  0.618     2.81     1094
5640.000000   175.6806383  15.4023019    1.11   21.93  0.591     2.98     1093
1945.000000   175.6751325  15.4770152    1.23   23.96  0.638     1.71     1091
3011.000000   175.6943047  15.4589516    1.20   24.95  0.638     0.58     1086
3149.000000   175.6352618  15.4558109    1.21   22.93  0.614     3.06     1086
4449.000000   175.6969176  15.4320518    1.11   23.19  0.608     1.27     1082
4608.000000   175.7112797  15.4275383    1.12   23.26  0.615     1.97     1080
2473.000000   175.6646822  15.4691576    1.18   25.54  0.673     1.72     1080
4322.000000   175.7423767  15.4322968    1.14   19.71  0.525     3.35     1079
3262.000000   175.699576  15.453114    1.17   23.22  0.592     0.68     1076
3114.000000   175.6978597  15.453182    1.26   21.73  0.548     0.58     1072
5062.000000   175.7343374  15.4201723    1.17   25.36  0.670     3.27     1071
3409.000000   175.7297165  15.4514047    1.21   22.78  0.599     2.42     1070
3370.000000   175.7234341  15.4501666    1.27   22.90  0.598     2.05     1066
4049.000000   175.6779646  15.4398646    1.10   22.62  0.577     0.90     1065
3413.000000   175.6689874  15.4513915    1.15   24.38  0.626     1.10     1065
3113.000000   175.7004167  15.4536737    1.29   21.57  0.541     0.74     1056
2819.000000   175.6838482  15.4608088    1.19   23.87  0.593     0.61     1055
1010.000000   175.6746904  15.4968573    1.15   25.50  0.662     2.83     1054
4938.000000   175.6946918  15.4222516    1.24   22.19  0.570     1.79     1052
4120.000000   175.7124809  15.4369544    1.27   22.76  0.583     1.66     1051
1222.000000   175.6944736  15.4923046    1.21   26.30  0.678     2.48     1049
3103.000000   175.7023556  15.4552339    1.18   25.36  0.633     0.87     1045
878.000000   175.6945631  15.4994058    1.18   25.32  0.650     2.91     1042
2440.000000   175.6718115  15.4698923    1.13   23.47  0.593     1.45     1040
2778.000000   175.7034158  15.4627661    1.10   23.21  0.582     1.13     1040
1926.000000   175.6875419  15.4791744    1.21   24.37  0.617     1.67     1039
1526.000000   175.6819421  15.4838423    1.13   22.00  0.559     1.98     1039
4080.000000   175.7297718  15.441924    1.14   23.96  0.611     2.49     1038
5513.000000   175.6728326  15.4058118    1.21   23.52  0.599     2.87     1034
5545.000000   175.6671528  15.4061576    1.23   23.16  0.590     2.97     1034
2759.000000   175.6933068  15.4622577    1.22   21.71  0.532     0.72     1034
1346.000000   175.7145761  15.487629    1.12   21.76  0.553     2.66     1033
3608.000000   175.7346459  15.4472436    1.14   25.45  0.646     2.71     1032
2814.000000   175.6628987  15.461842    1.14   23.02  0.578     1.58     1032
3110.000000   175.6973493  15.4513166    1.24   24.51  0.591     0.54     1031
1865.000000   175.6505998  15.4797876    1.22   23.73  0.601     2.75     1030
4671.000000   175.721835  15.4261781    1.14   23.45  0.592     2.48     1028
2857.000000   175.6898531  15.4609321    1.27   24.12  0.581     0.58     1027
3249.000000   175.6786679  15.4543751    1.12   23.84  0.573     0.56     1026
3189.000000   175.7331498  15.4554956    1.17   22.64  0.571     2.63     1026
1942.000000   175.6900019  15.4789198    1.14   23.98  0.599     1.66     1026
5143.000000   175.7091283  15.4176745    1.13   22.91  0.576     2.37     1025
3322.000000   175.7133752  15.4522788    1.28   22.93  0.567     1.47     1018
