# MC1J1142+1527 redshifts; Updated 30 July 2025
# Quality flags 3/2 are correct and 1 are guesses; ignore Q=0 objects
# Multiple coordinate systems used in making masks - beware! 
# Duplicates have been checked
# gmos ID are from an old version of phot catalogs
# MY ID are from the MOSFIRE masks
# obj ID are (mostly)from LRIS/DEIMOS masks in kSZ program
# pure number IDs are filler obj
# Includes GMOS from 2013/14; DEIMOS May 2015, MOSFIRE June 2015
# Also includes KSZ Keck masks observed in Feb-2022, Dec 2022 (m1142dec22a) and Jan 2023 (m1142kszd)
# NEED: pypeit reductions of Keck mask m1142szl (Feb-2024), m1142szo (Mar-2024), m1142szq (May-2024).
# Cluster       ID                 RA        Dec        Spec-z Q Comment                     Source Date     
  MOOJ1142+1527 1070332985915      175.56438 15.421111  0.7613 3 [oII],h-beta,[oIII]         KG     2013-2023
  MOOJ1142+1527 1070332986086      175.6242  15.41775   0.9321 3 [oII],[oIII]                KG     2013-2023
  MOOJ1142+1527 MY_1473            175.66812 15.441361  1.2054 3 d4000,[oII]                 KG     2013-2023
  MOOJ1142+1527 MY_1606            175.67123 15.4512    -91.0  0 faint_continuum             KG     2013-2023
  MOOJ1142+1527 MY_1719            175.67351 15.45675   -91.0  0 faint_continuum             KG     2013-2023
  MOOJ1142+1527 gmos2885           175.67685 15.43962   1.07   1 H+K;obj1668                 KG     2013-2023
  MOOJ1142+1527 gmos3403           175.67737 15.47223   0.84   2 D4000;obj1956               KG     2013-2023
  MOOJ1142+1527 1692               175.67891 15.4395275 1.05   1 d4000                       KG     2013-2023
  MOOJ1142+1527 gmos3155           175.68103 15.44625   1.19   2 H+K                         KG     2013-2023
  MOOJ1142+1527 MY_1845            175.68115 15.45215   1.194  1 5007,Hb?                    KG     2013-2023
  MOOJ1142+1527 gmos3439           175.68301 15.45804   -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 gmos1412           175.6835  15.48249   0.7386 3 Hb,5007;3727;obj949         KG     2013-2023
  MOOJ1142+1527 gmos3385           175.68546 15.45089   1.19   1 D4000;MY_1962               KG     2013-2023
  MOOJ1142+1527 gmos1492           175.68861 15.46889   0.933  2 H+K;obj998                  KG     2013-2023
  MOOJ1142+1527 obj1046            175.68875 15.462973  1.18   1 D4000                       KG     2013-2023
  MOOJ1142+1527 MY_2114            175.69006 15.45347   1.2027 2 5007,Hb;gmos3560            KG     2013-2023
  MOOJ1142+1527 MY_909             175.68983 15.4735    1.181  2 H+K;gmos1363                KG     2013-2023
  MOOJ1142+1527 obj1050            175.69109 15.457084  1.195  2 H+K,D4000                   KG     2013-2023
  MOOJ1142+1527 542                175.71512 15.455277  1.19   1 d4000                       KG     2013-2023
  MOOJ1142+1527 4291535126884      175.72917 15.473056  0.2327 3 h-beta,[oIII]               KG     2013-2023
  MOOJ1142+1527 4291535127363      175.736   15.506945  0.5714 3 [oII],[oIII]                KG     2013-2023
  MOOJ1142+1527 4291535127901      175.76167 15.513805  1.0885 2 [oII]                       KG     2013-2023
  MOOJ1142+1527 1070332985816      175.53246 15.391084  0.9921 3 [oII]                       KG     2013-2023
  MOOJ1142+1527 1070332985898      175.56091 15.415334  0.9338 3 [oII]                       KG     2013-2023
  MOOJ1142+1527 J114221.84+15260   175.591   15.434527  0.7913 3 [oII],h-beta,[oIII]         KG     2013-2023
  MOOJ1142+1527 J114222.11+15241   175.59213 15.404805  -91.0  0 red                         KG     2013-2023
  MOOJ1142+1527 J114223.36+15245   175.59734 15.416472  -91.0  0 bad                         KG     2013-2023
  MOOJ1142+1527 1070332986402      175.59846 15.405833  0.2632 3 h-alpha,[nII]               KG     2013-2023
  MOOJ1142+1527 ksza64291535061210 175.61104 15.46036   1.193  1 3727                        KG     2013-2023
  MOOJ1142+1527 J114226.68+15272   175.61116 15.456445  -91.0  0 continuum                   KG     2013-2023
  MOOJ1142+1527 4291535062505      175.62158 15.454194  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_1276            175.63736 15.46802   -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 4291535126823      175.63762 15.46725   0.6647 3 [oII],h-beta,[oIII]         KG     2013-2023
  MOOJ1142+1527 MY_1123            175.64519 15.4316    -91.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 MY_1319            175.64613 15.45387   -91.0  0 continuum                   KG     2013-2023
  MOOJ1142+1527 MY_1359            175.64638 15.46977   1.2261 1 5007                        KG     2013-2023
  MOOJ1142+1527 J114235.26+15241   175.64691 15.405056  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 id1271             175.64737 15.446167  -91.0  0 faint-cont                  KG     2013-2023
  MOOJ1142+1527 J114235.40+15271   175.6475  15.452917  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 MY_2123            175.65063 15.4554    -91.0  0 very_faint                  KG     2013-2023
  MOOJ1142+1527 J114237.21+15274   175.65504 15.461611  -91.0  0 faint                       KG     2013-2023
  MOOJ1142+1527 id1250             175.65517 15.427584  -99.0  0 nada                        KG     2013-2023
  MOOJ1142+1527 MY_1415            175.65543 15.46187   -91.0  0 faint_continuum             KG     2013-2023
  MOOJ1142+1527 ksza64291535061681 175.65562 15.45825   1.22   1 3727                        KG     2013-2023
  MOOJ1142+1527 MY_1299            175.65573 15.43205   -91.0  0 nada                        KG     2013-2023
