Cluster,ID,RA,Dec,Spec-z,Spec-z_err,Q,Comment,Source,Date
MOOJ1142+1527,1070332985915,175.56438,15.421111,0.7613,0.003,3.0,"[oII],h-beta,[oIII]",KG,2013-2023
MOOJ1142+1527,1070332986086,175.6242,15.41775,0.9321,0.003,3.0,"[oII],[oIII]",KG,2013-2023
MOOJ1142+1527,MY_1473,175.66812,15.441361,1.2054,0.003,3.0,"d4000,[oII]",KG,2013-2023
MOOJ1142+1527,gmos2885,175.67685,15.43962,1.07,0.003,1.0,H+K;obj1668,KG,2013-2023
MOOJ1142+1527,gmos3403,175.67737,15.47223,0.84,0.003,2.0,D4000;obj1956,KG,2013-2023
MOOJ1142+1527,1692,175.67891,15.4395275,1.05,0.003,1.0,d4000,KG,2013-2023
MOOJ1142+1527,gmos3155,175.68103,15.44625,1.19,0.003,2.0,H+K,KG,2013-2023
MOOJ1142+1527,MY_1845,175.68115,15.45215,1.194,0.003,1.0,"5007,Hb?",KG,2013-2023
MOOJ1142+1527,gmos1412,175.6835,15.48249,0.7386,0.003,3.0,"Hb,5007;3727;obj949",KG,2013-2023
MOOJ1142+1527,gmos3385,175.68546,15.45089,1.19,0.003,1.0,D4000;MY_1962,KG,2013-2023
MOOJ1142+1527,gmos1492,175.68861,15.46889,0.933,0.003,2.0,H+K;obj998,KG,2013-2023
MOOJ1142+1527,obj1046,175.68875,15.462973,1.18,0.003,1.0,D4000,KG,2013-2023
MOOJ1142+1527,MY_2114,175.69006,15.45347,1.2027,0.003,2.0,"5007,Hb;gmos3560",KG,2013-2023
MOOJ1142+1527,MY_909,175.68983,15.4735,1.181,0.003,2.0,H+K;gmos1363,KG,2013-2023
MOOJ1142+1527,obj1050,175.69109,15.457084,1.195,0.003,2.0,"H+K,D4000",KG,2013-2023
MOOJ1142+1527,542,175.71512,15.455277,1.19,0.003,1.0,d4000,KG,2013-2023
MOOJ1142+1527,4291535126884,175.72917,15.473056,0.2327,0.003,3.0,"h-beta,[oIII]",KG,2013-2023
MOOJ1142+1527,4291535127363,175.736,15.506945,0.5714,0.003,3.0,"[oII],[oIII]",KG,2013-2023
MOOJ1142+1527,4291535127901,175.76167,15.513805,1.0885,0.003,2.0,[oII],KG,2013-2023
MOOJ1142+1527,1070332985816,175.53246,15.391084,0.9921,0.003,3.0,[oII],KG,2013-2023
MOOJ1142+1527,1070332985898,175.56091,15.415334,0.9338,0.003,3.0,[oII],KG,2013-2023
MOOJ1142+1527,J114221.84+15260,175.591,15.434527,0.7913,0.003,3.0,"[oII],h-beta,[oIII]",KG,2013-2023
MOOJ1142+1527,1070332986402,175.59846,15.405833,0.2632,0.003,3.0,"h-alpha,[nII]",KG,2013-2023
MOOJ1142+1527,ksza64291535061210,175.61104,15.46036,1.193,0.003,1.0,3727,KG,2013-2023
MOOJ1142+1527,4291535126823,175.63762,15.46725,0.6647,0.003,3.0,"[oII],h-beta,[oIII]",KG,2013-2023
MOOJ1142+1527,MY_1359,175.64638,15.46977,1.2261,0.003,1.0,5007,KG,2013-2023
MOOJ1142+1527,ksza64291535061681,175.65562,15.45825,1.22,0.003,1.0,3727,KG,2013-2023
MOOJ1142+1527,1070333051281,175.65729,15.417139,1.0534,0.003,3.0,"[oII],[neIII],h-gamma",KG,2013-2023
MOOJ1142+1527,1445,175.66037,15.4453335,1.09,0.003,1.0,d4000,KG,2013-2023
MOOJ1142+1527,J114238.56+15261,175.66066,15.436639,0.8198,0.003,3.0,"[oII],[oIII]",KG,2013-2023
MOOJ1142+1527,ksza1465_1992,175.6648,15.45086,1.185,0.003,1.0,D4000,KG,2013-2023
MOOJ1142+1527,MY_1473ser,175.66702,15.44128,1.2007,0.003,3.0,"5007,4959,Hb;DEIMOS-obj1473",KG,2013-2023
MOOJ1142+1527,id1243,175.66891,15.398639,0.94,0.003,1.0,red-cont,KG,2013-2023
MOOJ1142+1527,gmos2976,175.66988,15.45907,1.201,0.003,1.0,3727,KG,2013-2023
MOOJ1142+1527,gmos3280,175.6722,15.46664,0.7221,0.003,3.0,"Hb,5007",KG,2013-2023
MOOJ1142+1527,id9p000423,175.67542,15.449917,1.192,0.003,1.0,D4000;gmos3034,KG,2013-2023
MOOJ1142+1527,gmos3034,175.67577,15.45011,1.19,0.003,2.0,D4000;id9p000423,KG,2013-2023
MOOJ1142+1527,1584,175.67642,15.433639,0.923,0.003,2.0,"d2900,d4000",KG,2013-2023
MOOJ1142+1527,gmos2896,175.67805,15.43999,1.2342,0.003,2.0,3727,KG,2013-2023
MOOJ1142+1527,obj1777,175.67859,15.448361,1.1858,0.003,2.0,"[oII],D4000",KG,2013-2023
MOOJ1142+1527,id9p000575,175.67975,15.439362,1.02,0.003,1.0,faint-cont,KG,2013-2023
MOOJ1142+1527,obj1903,175.67987,15.4565,1.185,0.003,2.0,H+K,KG,2013-2023
MOOJ1142+1527,id2039,175.67996,15.405861,1.2,0.003,1.0,red-cont,KG,2013-2023
MOOJ1142+1527,id2080,175.68042,15.402306,0.93,0.003,1.0,red-cont,KG,2013-2023
