Cluster,ID,RA,Dec,Spec-z,Q,Comment,Source,Date,Delta_v
MOOJ1142+1527,MY_1473,175.66812,15.441361,1.2054,3,"d4000,[oII]",KG,2013-2023,-1272
MOOJ1142+1527,gmos3155,175.68103,15.44625,1.19,2,H+K,KG,2013-2023,-78
MOOJ1142+1527,MY_1845,175.68115,15.45215,1.194,1,"5007,Hb?",KG,2013-2023,-390
MOOJ1142+1527,gmos3385,175.68546,15.45089,1.19,1,D4000;MY_1962,KG,2013-2023,-78
MOOJ1142+1527,obj1046,175.68875,15.462973,1.18,1,D4000,KG,2013-2023,708
MOOJ1142+1527,MY_2114,175.69006,15.45347,1.2027,2,"5007,Hb;gmos3560",KG,2013-2023,-1064
MOOJ1142+1527,MY_909,175.68983,15.4735,1.181,2,H+K;gmos1363,KG,2013-2023,629
MOOJ1142+1527,obj1050,175.69109,15.457084,1.195,2,"H+K,D4000",KG,2013-2023,-468
MOOJ1142+1527,542,175.71512,15.455277,1.19,1,d4000,KG,2013-2023,-78
MOOJ1142+1527,ksza64291535061210,175.61104,15.46036,1.193,1,3727,KG,2013-2023,-312
MOOJ1142+1527,MY_1359,175.64638,15.46977,1.2261,1,5007,KG,2013-2023,-2847
MOOJ1142+1527,ksza64291535061681,175.65562,15.45825,1.22,1,3727,KG,2013-2023,-2387
MOOJ1142+1527,ksza1465_1992,175.6648,15.45086,1.185,1,D4000,KG,2013-2023,314
MOOJ1142+1527,MY_1473ser,175.66702,15.44128,1.2007,3,"5007,4959,Hb;DEIMOS-obj1473",KG,2013-2023,-910
MOOJ1142+1527,gmos2976,175.66988,15.45907,1.201,1,3727,KG,2013-2023,-933
MOOJ1142+1527,id9p000423,175.67542,15.449917,1.192,1,D4000;gmos3034,KG,2013-2023,-234
MOOJ1142+1527,gmos3034,175.67577,15.45011,1.19,2,D4000;id9p000423,KG,2013-2023,-78
MOOJ1142+1527,obj1777,175.67859,15.448361,1.1858,2,"[oII],D4000",KG,2013-2023,251
MOOJ1142+1527,obj1903,175.67987,15.4565,1.185,2,H+K,KG,2013-2023,314
MOOJ1142+1527,id2039,175.67996,15.405861,1.2,1,red-cont,KG,2013-2023,-856
MOOJ1142+1527,id9p00037,175.6805,15.451389,1.1947,3,"H+K,D4000;gmos3213",KG,2013-2023,-445
MOOJ1142+1527,gmos3213,175.68086,15.45159,1.19,2,D4000;id9p00037,KG,2013-2023,-78
MOOJ1142+1527,id970,175.68175,15.483973,1.2,1,faint-D4000,KG,2013-2023,-856
MOOJ1142+1527,id9p000286,175.68204,15.455389,1.1805,3,"H+K,D4000",KG,2013-2023,668
MOOJ1142+1527,gmos3318,175.68279,15.45057,1.179,3,H+K,KG,2013-2023,787
MOOJ1142+1527,gmos3511,175.68726,15.45446,1.22,1,H+K,KG,2013-2023,-2387
MOOJ1142+1527,obj2074,175.68974,15.454528,1.196,2,H+K,KG,2013-2023,-546
MOOJ1142+1527,id9p000253,175.695,15.456833,1.2039,2,good-D4000,KG,2013-2023,-1157
MOOJ1142+1527,MY_789,175.69739,15.46946,1.208,1,5007,KG,2013-2023,-1472
MOOJ1142+1527,id9p000332,175.69759,15.453083,1.1859,3,"3727,D4000",KG,2013-2023,243
MOOJ1142+1527,id9p000158,175.69983,15.46175,1.18,1,faint-D4000,KG,2013-2023,708
MOOJ1142+1527,id9p000103,175.70271,15.465,1.2,1,faint-D4000,KG,2013-2023,-856
MOOJ1142+1527,MY_769,175.70691,15.45007,1.1715,2,"5007,Hb",KG,2013-2023,1382
MOOJ1142+1527,MY_774,175.7097,15.44643,1.2001,3,S;KSZA-Feb22,KG,2013-2023,-864
MOOJ1142+1527,MY_394,175.72556,15.44856,1.1836,2,5007,KG,2013-2023,424
MOOJ1142+1527,ksza64291535192523,175.78612,15.45783,1.204,1,3727,KG,2013-2023,-1165
